Source_X(m),Source_Y(m),Source_Z(m),Delta_X(m),Delta_Y(m),Delta_Z(m),w_x(m/s),w_y(m/s),w_z(m/s),T(ºC),Phi_línea_recta(º),Phi_real(º),Delta_Phi(º),Theta_línea_recta(º),Theta_real(º),Delta_Theta(º),Error_Relativo(%)
7148.206895881196,8191.87316159754,6696.742028031602,-4542.687944274392,-6417.431723468597,-4828.200326992901,-9.938905479858544,-18.922073792081292,16.09201158439879,14.826893998691844,-125.90370120383074,-125.95215331768489,-0.04845211385415382,121.5531231229389,127.85254914334705,6.2994260204081485,0.07722193434691894
1338.6660960454333,4247.387584241416,8504.51992878745,3586.0078579011893,2220.8433411911046,-6841.642219402483,3.177297540330599,0.24657466797150107,12.29677325277158,-5.093850005721253,32.307821383429996,32.255151361365094,-0.0526700220649019,148.34534080923282,151.20088927862056,2.8555484693877418,0.06263888596027703
1177.2549875593795,8636.401423518197,832.7477310211806,908.7693661208009,-978.9305454296327,1757.4676233005125,0.12727792290019124,-2.876633435701148,-3.773398132662436,-5.349064932728556,-46.57164427022175,-46.58440627665731,-0.012762006435558249,37.23590161718131,36.87716437228335,-0.35873724489795933,0.07494635482610347
1653.2208143040962,5259.570966016016,1016.637485421128,760.8464743085874,1356.261050647302,239.36038189121166,9.039834966096333,14.275479851605702,-12.498389757160918,-4.576388554509734,60.87008523314352,60.87718901901218,0.007103785868658008,81.2497182770666,78.99684837910742,-2.2528698979591866,0.06287850373591534
2781.295087032619,8832.519254356139,819.0536482079768,1375.6175744798525,-3568.065646765498,4180.405130923979,-4.62196910829574,11.266566074854634,13.670735299057888,-13.81394313203577,-68.8502615621947,-68.85266330931155,-0.002401747116849151,42.45095445850988,46.942344764632324,4.491390306122447,0.06123008647733529
9140.18862337486,8320.27113697359,4131.072693917435,-7135.8481662914255,-7430.068777661554,-2185.9401048828163,19.941233236335144,-18.03558779972413,-15.233963358085996,-13.0,-138.82292005741135,-138.84954999550592,-0.02662993809457248,101.97995574387825,102.19519809081702,0.21524234693876565,0.0651435893902882
1877.6610644805414,2652.0564643609046,7937.290598540413,4449.64125196471,-887.9395801267087,-1219.7965550769732,17.33478586492638,-1.3255259055640138,18.311938150356454,-9.0,-11.705960458960899,-11.728304169513216,-0.022343710552316765,105.04725057059044,110.60050312161086,5.553252551020421,0.07640371590906449
1178.9326964261427,1792.8976737379853,5638.194784309144,2572.8878055118876,6908.142630764627,772.0715631424146,9.93017882802399,9.626839945828237,-2.6645086409368304,11.0,70.64574917208229,70.68071563690695,0.034966464824663035,84.02096400185928,85.25502012430826,1.2340561224489761,0.15048432869988237
2613.172666898853,3745.6628011666917,227.33315048140358,725.1409730160517,-1609.9348360010213,5582.948283551405,-9.997332904435513,12.35117470075771,-3.770862323328359,-2.0,-63.63699599963023,-63.77911863010418,-0.14212263047394913,17.550483743085454,20.506478641044637,2.955994897959183,0.1295722984563556
8211.143572875542,7055.284996134995,1555.786311861338,-4134.827933800254,-2349.006963405328,2519.513352737077,-12.554438071330708,11.331196363909534,-11.87251670570356,37.0,-147.3134645645875,-147.39243547940941,-0.07897091482192309,62.08481624391925,61.08035195820497,-1.0044642857142776,0.12259498924986006
